Company Random #,Sales Rep Random #,Contacts Full Name,Title,Company,Company Headcount,Industry,Company Website,Sales Representative
595,64,Katharine Fraanchyonok,Assistant Manager,"Willamette Valley Vineyards, Inc.",201-500,Beverages (Production/Distribution),www.willamette.com,Rama Frye
321,88,Kelvin Karpov,Help Desk Operator,"Wolverine Bancorp, Inc.",10000+,Banks,www.wolverine.com,Rhona Gross
840,97,Libbie Avon,Data Coordiator,"Xenia Hotels & Resorts, Inc.",501-1000,Hotels/Resorts,www.xenia.com,Neil Garrett
880,50,Maurene Lere,Community Outreach Specialist,"New Relic, Inc.",1001-5000,Computer Software: Prepackaged Software,www.new.com,Basia Russo
504,63,Beale Devigne,Quality Control Specialist,"Navigant Consulting, Inc.",10000+,Professional Services,www.navigant.com,Zena Cochran
231,79,Misty Decreuze,Executive Secretary,Sonic Corp.,501-1000,Restaurants,www.sonic.com,Piper Clarke
255,49,Lilla Sayburn,Geological Engineer,AmeriServ Financial Inc.,501-1000,Major Banks,www.ameriserv.com,Troy Workman
422,71,Shane Simcock,Web Designer III,"Consolidated Communications Holdings, Inc.",10000+,Telecommunications Equipment,www.consolidated.com,Farrah Mcgee
279,84,Kinna Reddecliffe,Assistant Professor,"Valhi, Inc.",1001-5000,Major Chemicals,"www.valhi,.com",Tasha Baxter
801,54,Stefan Macari,Senior Quality Engineer,"Tyler Technologies, Inc.",10000+,Computer Software: Prepackaged Software,www.tyler.com,Eve Mccarty
859,48,Whitby Peggrem,Quality Engineer,"Marcus & Millichap, Inc.",501-1000,Real Estate,www.marcus.com,Jolie Nash
402,64,Tally Cockney,GIS Technical Architect,"Bassett Furniture Industries, Incorporated",201-500,Home Furnishings,www.bassett.com,Rama Frye
972,21,Algernon Fost,Human Resources Assistant I,Fifth Third Bancorp,1001-5000,Major Banks,www.fifth.com,Vernon Dejesus
636,7,Christabel Doidge,Senior Sales Associate,American Homes 4 Rent,201-500,Real Estate Investment Trusts,www.american.com,Shaeleigh Ruiz
503,18,Carlene McFade,Statistician IV,Cellect Biotechnology Ltd.,1001-5000,Holdings,www.cellect.com,Porter Conway
336,52,Vernor Oosthout de Vree,Staff Accountant III,Fiduciary/Claymore MLP Opportunity Fund,201-500,Holdings,www.fiduciary/claymore.com,Daphne Lindsey
879,73,Eben Dentith,Librarian,Pacific Coast Oil Trust,1001-5000,Oil & Gas Production,www.pacific.com,Lysandra Whitfield
676,49,Ealasaid Nadin,Safety Technician IV,Accuray Incorporated,201-500,Medical/Dental Instruments,www.accuray.com,Troy Workman
958,39,Vita Ballantine,Operator,Dun & Bradstreet Corporation (The),201-500,Finance: Consumer Services,www.dun.com,Gail William
999,42,Jewelle Beazley,Physical Therapy Assistant,"ARMOUR Residential REIT, Inc.",501-1000,Real Estate Investment Trusts,www.armour.com,Georgia Middleton
394,40,Zorine Edden,Pharmacist,Texas Pacific Land Trust,10000+,Oil & Gas Production,www.texas.com,Amal Hodges
145,93,Morgana Burney,Computer Systems Analyst I,EPR Properties,501-1000,Holdings,www.epr.com,Giselle Dejesus
390,32,Prisca Jacobowicz,Recruiting Manager,"United Financial Bancorp, Inc. ",1001-5000,Banks,www.united.com,Gretchen Montgomery
561,74,Calvin Dunckley,Media Manager III,"Vital Therapies, Inc.",201-500,Major Pharmaceuticals,www.vital.com,Ivy Harper
354,83,Lazarus Litel,Assistant Media Planner,Travelzoo,201-500,EDP Services,#VALUE!,Kaseem James
104,85,Gussie Poles,VP Quality Control,"GlassBridge Enterprises, Inc.",201-500,Electronic Components,www.glassbridge.com,Ria Gilbert
570,3,Dolores Kilmaster,Operator,"Xenia Hotels & Resorts, Inc.",501-1000,Hotels/Resorts,www.xenia.com,Nita Brewer
508,44,Ansley Sivorn,Financial Advisor,"Appliance Recycling Centers of America, Inc.",201-500,Home Furnishings,www.appliance.com,Lani Solomon
335,91,Alexa MacTeague,Structural Analysis Engineer,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,201-500,Holdings,www.western.com,Ainsley Ortiz
350,33,Glory Aucourte,Software Test Engineer IV,Layne Christensen Company,1001-5000,Engineering & Construction,www.layne.com,Chester Payne
844,37,Nicky De Giorgio,Web Developer II,"Ionis Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals,www.ionis.com,Yvette Anderson
773,60,Mortie Jubert,Internal Auditor,"American National Bankshares, Inc.",10000+,Major Banks,www.american.com,Scott Camacho
214,46,Minetta Becke,Chief Design Engineer,"Carbo Ceramics, Inc.",201-500,Industrial Machinery/Components,www.carbo.com,Camille Ortega
442,68,Filip Munby,Desktop Support Technician,Fifth Street Asset Management Inc.,501-1000,Investment Managers,www.fifth.com,Libby Lyons
176,87,Gail Laneham,Financial Analyst,Ivy High Income Opportunities Fund,201-500,Holdings,www.ivy.com,Lacy Chambers
733,16,Joachim Latty,Financial Analyst,"Fidelity National Financial, Inc.",10000+,Specialty Insurers,www.fidelity.com,Kimberley Owen
579,48,Bryn McCarlich,Media Manager IV,iShares S&P India Nifty 50 Index Fund,10000+,Holdings,www.ishares.com,Jolie Nash
110,45,Gerri Cromar,Staff Scientist,"TG Therapeutics, Inc.",201-500,Major Pharmaceuticals,www.tg.com,Ethan Odom
780,7,Tann Du Hamel,Geological Engineer,Student Transportation Inc,501-1000,Other Transportation,www.student.com,Shaeleigh Ruiz
968,78,Patrizius Gatcliff,Geological Engineer,"Cass Information Systems, Inc",201-500,Business Services,www.cass.com,Audrey Landry
481,38,Micki Hargate,Librarian,Glaukos Corporation,10000+,Medical/Dental Instruments,www.glaukos.com,Colleen Harper
520,64,Vicky Mixhel,Occupational Therapist,"Advanced Emissions Solutions, Inc.",501-1000,Major Chemicals,www.advanced.com,Rama Frye
534,59,Abbie Cobain,Librarian,Alpine Global Dynamic Dividend Fund,201-500,Holdings,www.alpine.com,Amanda Massey
560,63,Robby Eaglestone,Quality Engineer,"Itron, Inc.",201-500,Electrical Products,"www.itron,.com",Zena Cochran
58,65,Catharine Scobbie,Compensation Analyst,"Luxottica Group, S.p.A.",10000+,Ophthalmic Goods,www.luxottica.com,Orla Shepard
882,58,Ashlan Damarell,Programmer Analyst I,"OSI Systems, Inc.",10000+,Semiconductors,www.osi.com,Lance Floyd
955,70,Cesar Marians,Professor,Infinera Corporation,201-500,Telecommunications Equipment,www.infinera.com,Tucker Horn
450,67,Asa Theuss,Senior Cost Accountant,Caesarstone Ltd.,10000+,Building Materials,www.caesarstone.com,Velma Eaton
905,31,Abagail Capron,Quality Engineer,Aflac Incorporated,201-500,Accident &Health Insurance,www.aflac.com,Natalie Hull
193,46,Netta Mawtus,Legal Assistant,Shinhan Financial Group Co Ltd,501-1000,Major Banks,www.shinhan.com,Camille Ortega
652,87,Arny McGreay,Staff Accountant II,"TripAdvisor, Inc.",1001-5000,"Computer Software: Programming, Data Processing","www.tripadvisor,.com",Lacy Chambers
800,53,Junette Savell,Compensation Analyst,"Rollins, Inc.",501-1000,Diversified Commercial Services,"www.rollins,.com",Mona Mccormick
195,74,Katya Horick,Data Coordiator,"EnLink Midstream Partners, LP",10000+,Natural Gas Distribution,www.enlink.com,Ivy Harper
298,95,D'arcy Rousby,Tax Accountant,Cemex S.A.B. de C.V.,201-500,Building Materials,www.cemex.com,Penelope Bolton
692,11,Fayina Kundert,Human Resources Assistant II,Merus N.V.,1001-5000,Major Pharmaceuticals,www.merus.com,Aline Larsen
596,54,Louie Luppitt,Data Coordiator,AGNC Investment Corp.,1001-5000,Real Estate Investment Trusts,www.agnc.com,Eve Mccarty
540,94,Caro Guppey,Assistant Manager,"Zogenix, Inc.",1001-5000,Major Pharmaceuticals,"www.zogenix,.com",Adam Burch
528,54,Booth Mariner,Recruiting Manager,Seadrill Limited,201-500,Oil & Gas Production,www.seadrill.com,Eve Mccarty
929,53,Westbrooke Graveston,Registered Nurse,"Cypress Energy Partners, L.P.",10000+,Oilfield Services/Equipment,www.cypress.com,Mona Mccormick
666,95,Philbert Gamil,Director of Sales,"United Bankshares, Inc.",201-500,Major Banks,www.united.com,Penelope Bolton
678,8,Kalle Cauley,Senior Editor,Scorpio Tankers Inc.,201-500,Marine Transportation,www.scorpio.com,Dexter Cherry
974,93,Tiphany Ribchester,Programmer Analyst IV,Service Corporation International,501-1000,Other Consumer Services,www.service.com,Giselle Dejesus
390,68,Carolina Curl,Chief Design Engineer,"United Financial Bancorp, Inc. ",1001-5000,Banks,www.united.com,Libby Lyons
60,29,Lauralee Frayling,Legal Assistant,"Stericycle, Inc.",1001-5000,Environmental Services,"www.stericycle,.com",Aline Vincent
316,95,Morganne Goscomb,Accountant II,"Merit Medical Systems, Inc.",501-1000,Medical/Dental Instruments,www.merit.com,Penelope Bolton
554,71,Gussi Pughsley,Research Assistant IV,"Vail Resorts, Inc.",501-1000,Services-Misc. Amusement & Recreation,www.vail.com,Farrah Mcgee
757,75,Jeanette Kleanthous,Recruiter,"AMAG Pharmaceuticals, Inc.",10000+,Major Pharmaceuticals,www.amag.com,Dillon Stanley
230,35,Daryl Presho,Tax Accountant,American Campus Communities Inc,1001-5000,Real Estate Investment Trusts,www.american.com,Ray Patton
102,41,Leslie Valens-Smith,Safety Technician IV,National Holdings Corporation,201-500,Investment Bankers/Brokers/Service,www.national.com,Erich Pruitt
582,23,Dreddy Rimmington,Occupational Therapist,"Chimerix, Inc.",10000+,Major Pharmaceuticals,"www.chimerix,.com",Wylie Klein
999,13,Sanders Mytton,Research Associate,"ARMOUR Residential REIT, Inc.",501-1000,Real Estate Investment Trusts,www.armour.com,Anjolie Murphy
137,43,Cherice Riach,Recruiter,Exa Corporation,10000+,Computer Software: Prepackaged Software,www.exa.com,Fritz Rodgers
837,13,Fletcher Lanphier,Administrative Officer,Genie Energy Ltd.,501-1000,Holdings,www.genie.com,Anjolie Murphy
234,83,Salim Ragbourne,Automation Specialist II,"Heartland Express, Inc.",1001-5000,Trucking Freight/Courier Services,www.heartland.com,Kaseem James
274,54,Somerset Chapellow,Professor,"AeroVironment, Inc.",10000+,Aerospace,"www.aerovironment,.com",Eve Mccarty
73,24,Carie Ramelet,Staff Scientist,Deere & Company,1001-5000,Industrial Machinery/Components,www.deere.com,Ava Osborne
121,35,Ranique Beames,Compensation Analyst,Liberty Broadband Corporation,10000+,Television Services,www.liberty.com,Ray Patton
589,34,Blayne Danielot,Occupational Therapist,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,10000+,Holdings,www.flaherty.com,Dolan Merrill
334,21,Bernard Halso,GIS Technical Architect,"The Bon-Ton Stores, Inc.",201-500,Department/Specialty Retail Stores,www.the.com,Vernon Dejesus
509,45,Randene Parfitt,Web Designer II,"Morgan Stanley India Investment Fund, Inc.",501-1000,Holdings,www.morgan.com,Ethan Odom
230,72,Iorgo Biagi,Speech Pathologist,American Campus Communities Inc,1001-5000,Real Estate Investment Trusts,www.american.com,Stone Dotson
174,92,Stanislas Filppetti,Sales Representative,"Digital Realty Trust, Inc.",501-1000,Holdings,www.digital.com,Basil Leach
424,18,Laney Major,Research Nurse,Principal Millennials Index ETF,1001-5000,Holdings,www.principal.com,Porter Conway
235,92,Fayette Lamborn,GIS Technical Architect,Cresud S.A.C.I.F. y A.,10000+,Real Estate,www.cresud.com,Basil Leach
18,14,Andriana Mannion,VP Sales,"PNM Resources, Inc. (Holding Co.)",501-1000,Electric Utilities: Central,www.pnm.com,Martin Pruitt
400,52,Merla Lardner,Structural Analysis Engineer,ContraFect Corporation,501-1000,Major Pharmaceuticals,www.contrafect.com,Daphne Lindsey
982,45,Lauren Bantham,Teacher,Grupo Aval Acciones y Valores S.A.,201-500,Commercial Banks,www.grupo.com,Ethan Odom
45,62,Joellen Writer,Nurse Practicioner,"Medidata Solutions, Inc.",1001-5000,Computer Software: Prepackaged Software,www.medidata.com,Alexander Barlow
794,59,Micaela Cella,Staff Scientist,"First Business Financial Services, Inc.",10000+,Major Banks,www.first.com,Amanda Massey
125,61,Yurik Sheehy,Electrical Engineer,Pimco New York Municipal Income Fund II,1001-5000,Holdings,www.pimco.com,Maryam Whitfield
560,91,Avery Arnoll,Sales Associate,"Itron, Inc.",201-500,Electrical Products,"www.itron,.com",Ainsley Ortiz
921,87,Gallagher Bratley,Information Systems Manager,"Sykes Enterprises, Incorporated",501-1000,EDP Services,www.sykes.com,Lacy Chambers
825,75,Corilla Spriggen,Marketing Assistant,Marine Petroleum Trust,10000+,Oil & Gas Production,www.marine.com,Dillon Stanley
837,29,Addie Matyugin,Quality Engineer,Genie Energy Ltd.,501-1000,Holdings,www.genie.com,Aline Vincent
259,21,Hansiain Brannon,Physical Therapy Assistant,Dell Technologies Inc.,201-500,Computer Manufacturing,www.dell.com,Vernon Dejesus
275,9,Bidget Cansfield,VP Accounting,First Bancorp,1001-5000,Major Banks,www.first.com,Louis Yates
537,16,Kelly Sidgwick,Recruiter,Axis Capital Holdings Limited,1001-5000,Holdings,www.axis.com,Kimberley Owen
24,19,Nert MacCallester,Budget/Accounting Analyst III,"Bottomline Technologies, Inc.",10000+,Computer Software: Prepackaged Software,www.bottomline.com,Hasad Conrad
998,43,Phaedra Ofer,Quality Control Specialist,"PS Business Parks, Inc.",1001-5000,Holdings,www.ps.com,Fritz Rodgers
316,1,Adara Le Strange,Recruiter,"Merit Medical Systems, Inc.",501-1000,Medical/Dental Instruments,www.merit.com,Bianca Cardenas
503,88,Tim Arsnell,Paralegal,Cellect Biotechnology Ltd.,1001-5000,Holdings,www.cellect.com,Rhona Gross
49,100,Valeda Piddletown,Account Coordinator,"Reven Housing REIT, Inc.",201-500,Real Estate Investment Trusts,www.reven.com,Quincy Joyner
740,46,Jere McRobb,Editor,"Glacier Bancorp, Inc.",1001-5000,Major Banks,www.glacier.com,Camille Ortega
531,12,Lorettalorna Ansill,Design Engineer,Peoples Financial Corporation,1001-5000,Major Banks,www.peoples.com,Naomi Livingston
356,29,Ardra Salamon,Geologist I,"Amtech Systems, Inc.",1001-5000,Industrial Machinery/Components,www.amtech.com,Aline Vincent
10,19,Adriaens Chong,Financial Analyst,Zoetis Inc.,501-1000,Major Pharmaceuticals,www.zoetis.com,Hasad Conrad
733,65,Samaria MacLise,Operator,"Fidelity National Financial, Inc.",10000+,Specialty Insurers,www.fidelity.com,Orla Shepard
829,20,Maddy Edwin,Dental Hygienist,"Republic Services, Inc.",10000+,Environmental Services,www.republic.com,Orson Santos
703,56,Suzann Izchaki,Developer II,Brasilagro Cia Brasileira De Propriedades Agricolas,1001-5000,Holdings,www.brasilagro.com,Hayley Munoz
64,22,Greer Royall,Registered Nurse,Terex Corporation,10000+,Construction/Ag Equipment/Trucks,www.terex.com,Fuller Spencer
244,25,Rey McFade,Speech Pathologist,"Republic First Bancorp, Inc.",501-1000,Major Banks,www.republic.com,Oliver Craft
63,72,Magda Lemmertz,Programmer I,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",10000+,Holdings,www.rivernorth/doubleline.com,Stone Dotson
371,82,Juanita Papaminas,Marketing Assistant,Ardmore Shipping Corporation,501-1000,Marine Transportation,www.ardmore.com,Rudyard Harrison
156,22,Rodrique Wandrich,Account Representative II,Global Medical REIT Inc.,1001-5000,Real Estate Investment Trusts,www.global.com,Fuller Spencer
820,92,Gretta Tewkesbury.,Engineer III,Tocagen Inc.,1001-5000,Major Pharmaceuticals,www.tocagen.com,Basil Leach
949,49,Franz Nutbeam,VP Product Management,CalAmp Corp.,1001-5000,Radio And Television Broadcasting And Communications Equipment,www.calamp.com,Troy Workman
791,39,Huberto Polendine,Senior Cost Accountant,"Heron Therapeutics, Inc.  ",10000+,Major Pharmaceuticals,www.heron.com,Gail William
275,47,Maximilian Rosenfelt,Programmer Analyst II,First Bancorp,1001-5000,Major Banks,www.first.com,Ursa Singleton
658,50,Robert Maffiotti,Mechanical Systems Engineer,"CenturyLink, Inc.",501-1000,Telecommunications Equipment,"www.centurylink,.com",Basia Russo
125,12,Rakel Cooley,Data Coordiator,Pimco New York Municipal Income Fund II,1001-5000,Holdings,www.pimco.com,Naomi Livingston
611,98,Elva Varsey,Structural Engineer,CF Corporation,10000+,Business Services,www.cf.com,Maryam Mann
725,18,Calida Crambie,Staff Accountant I,"NetApp, Inc.",201-500,Electronic Components,"www.netapp,.com",Porter Conway
616,6,Correy Lalor,Environmental Specialist,Brookfield Asset Management Inc,1001-5000,Building operators,www.brookfield.com,Yolanda Wade
344,5,Danila Elsegood,Food Chemist,"Nova Lifestyle, Inc",10000+,Home Furnishings,www.nova.com,Risa Pugh
110,59,Sebastiano Cosby,Account Representative II,"TG Therapeutics, Inc.",201-500,Major Pharmaceuticals,www.tg.com,Amanda Massey
148,95,Allyn Bonds,Account Executive,"Cisco Systems, Inc.",201-500,Computer Communications Equipment,www.cisco.com,Penelope Bolton
52,92,Tiphany Aleevy,Clinical Specialist,"SunCoke Energy Partners, L.P.",501-1000,Steel/Iron Ore,www.suncoke.com,Basil Leach
760,45,Erich Waddie,Accounting Assistant IV,"Iconix Brand Group, Inc.",201-500,Shoe Manufacturing,www.iconix.com,Ethan Odom
47,7,Ina Hadigate,Senior Developer,1st Constitution Bancorp (NJ),10000+,Savings Institutions,www.1st.com,Shaeleigh Ruiz
869,6,Ekaterina O' Cuolahan,Senior Financial Analyst,Harsco Corporation,10000+,Metal Fabrications,www.harsco.com,Yolanda Wade
769,5,Hinze Silman,Health Coach IV,Amec Plc Ord,201-500,Military/Government/Technical,www.amec.com,Risa Pugh
842,43,Justen Lasselle,Analyst Programmer,iShares MSCI New Zealand Capped ETF,201-500,Holdings,www.ishares.com,Fritz Rodgers
700,26,Brigitta Puckinghorne,Dental Hygienist,CarMax Inc,10000+,Automotive Aftermarket,www.carmax.com,Sacha Osborn
487,42,Garrik Leftly,Community Outreach Specialist,Manulife Financial Corp,10000+,Life Insurance,www.manulife.com,Georgia Middleton
356,19,Lorant Siflet,Executive Secretary,"Amtech Systems, Inc.",1001-5000,Industrial Machinery/Components,www.amtech.com,Hasad Conrad
5,13,Maybelle Gair,Associate Professor,"Transcontinental Realty Investors, Inc.",10000+,Real Estate Investment Trusts,www.transcontinental.com,Anjolie Murphy
149,24,Earvin Moakson,Director of Sales,"Fate Therapeutics, Inc.",201-500,Biotechnology: Biological Products (No Diagnostic Substances),www.fate.com,Ava Osborne
607,7,Ailina Hatzar,Chief Design Engineer,Apollo Commercial Real Estate Finance,501-1000,Holdings,www.apollo.com,Shaeleigh Ruiz
332,89,Sarge Powelee,Clinical Specialist,The Charles Schwab Corporation,1001-5000,Holdings,www.the.com,Jack Mccarthy
468,48,Mercy Handrahan,Payment Adjustment Coordinator,General Finance Corporation,201-500,Diversified Commercial Services,www.general.com,Jolie Nash
48,34,Karalynn Beeton,General Manager,Telecom Argentina Stet - France Telecom S.A.,201-500,Telecommunications Equipment,www.telecom.com,Dolan Merrill
848,46,Joshua Feedham,Software Test Engineer II,SecureWorks Corp.,501-1000,Computer Software: Prepackaged Software,www.secureworks.com,Camille Ortega
518,23,Milzie Cubbin,Nurse,Solar Capital Ltd.,1001-5000,Holdings,www.solar.com,Wylie Klein
541,92,Flo Eminson,Editor,"Advaxis, Inc.",10000+,Major Pharmaceuticals,"www.advaxis,.com",Basil Leach
649,45,Arvie Petracek,Sales Representative,"Nova Lifestyle, Inc",201-500,Home Furnishings,www.nova.com,Ethan Odom
608,97,Mic Massot,Mechanical Systems Engineer,Kennedy-Wilson Holdings Inc.,1001-5000,Real Estate,www.kennedy-wilson.com,Neil Garrett
473,52,Thaddus Castleton,VP Accounting,"Match Group, Inc.",201-500,"Computer Software: Programming, Data Processing",www.match.com,Daphne Lindsey
139,71,Willis Leverentz,Analyst Programmer,Cardiome Pharma Corporation,10000+,Major Pharmaceuticals,www.cardiome.com,Farrah Mcgee
905,67,Consuelo Pozer,Financial Analyst,Aflac Incorporated,201-500,Accident &Health Insurance,www.aflac.com,Velma Eaton
623,89,Sylas Ohrtmann,Geological Engineer,First Trust Multi Cap Growth AlphaDEX Fund,1001-5000,Holdings,www.first.com,Jack Mccarthy
660,66,Sal Divina,Structural Engineer,"Nuveen California Municipal Value Fund, Inc.",201-500,Holdings,www.nuveen.com,Jacob Dorsey
642,69,Mohandis Kobpal,Executive Secretary,Drive Shack Inc.,10000+,Holdings,www.drive.com,Jack Francis
856,71,Kippar Martonfi,Geologist IV,Summit Therapeutics plc,501-1000,Major Pharmaceuticals,www.summit.com,Farrah Mcgee
364,75,Ase Novill,Safety Technician IV,Crane Company,501-1000,Metal Fabrications,www.crane.com,Dillon Stanley
8,18,Garner Haggerty,Editor,SandRidge Mississippian Trust II,10000+,Oil & Gas Production,www.sandridge.com,Porter Conway
26,47,Drugi Airs,Payment Adjustment Coordinator,Gulfport Energy Corporation,1001-5000,Oil & Gas Production,www.gulfport.com,Ursa Singleton
905,86,Shane Blucher,Internal Auditor,Aflac Incorporated,201-500,Accident &Health Insurance,www.aflac.com,Nyssa King
170,11,Shelly Renault,Financial Advisor,Nuveen Floating Rate Income Fund,201-500,Holdings,www.nuveen.com,Aline Larsen
920,11,Linet Heathwood,Research Nurse,Marathon Petroleum Corporation,501-1000,Integrated oil Companies,www.marathon.com,Aline Larsen
567,56,Dot Matteini,Chemical Engineer,"Aviragen Therapeutics, Inc.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances),www.aviragen.com,Hayley Munoz
490,10,Eden Dwane,Civil Engineer,Fortuna Silver Mines Inc.,501-1000,Precious Metals,www.fortuna.com,Seth Rosario
464,83,Wayne Rastrick,Tax Accountant,"Williams-Sonoma, Inc.",10000+,Home Furnishings,"www.williams-sonoma,.com",Kaseem James
514,30,Lyn McDell,Administrative Assistant III,"LEAP THERAPEUTICS, INC.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances),www.leap.com,Perry Poole
830,55,Karlee Sheehan,Office Assistant I,MSG Networks Inc.,501-1000,Services-Misc. Amusement & Recreation,www.msg.com,Arsenio Palmer
559,70,Rozalie Maddigan,Account Coordinator,GGP Inc.,10000+,Real Estate Investment Trusts,www.ggp.com,Tucker Horn
579,92,Jess Briztman,Geologist III,iShares S&P India Nifty 50 Index Fund,10000+,Holdings,www.ishares.com,Basil Leach
709,47,Kenn Bloxsome,Human Resources Assistant III,Kennametal Inc.,1001-5000,Industrial Machinery/Components,www.kennametal.com,Ursa Singleton
795,42,Deva Blaxter,Structural Engineer,Forum Merger Corporation,501-1000,Business Services,www.forum.com,Georgia Middleton
